,,
,Hướng dẫn chơi game: https://docs.google.com/document/d/1escGMXydqpRkEywDb4SQUXX9HXtYcqaVN5GjRwKpcxc/edit?tab=t.0#heading=h.7p7z2toe07mb,
,,
,1. Trên thiệp cưới của Cô dâu/Chú rể có bao nhiêu con mèo,
,,5
,,9
,,10
,,8
,2. Năm sinh của CD/CR là năm nào?,
,,1992
,,1994
,,1993
,,1993 & 1992
,3. CD/CR đã quen biết nhau từ lúc nào,
,,Đại học
,,Cấp 3
,,Đi làm
,,Gần đây
,4. CD/CR đã chính thức bước vào mối quan hệ yêu đương được bao lâu,
,,3 năm
,,4 năm
,,5 năm
,,6 năm
,5. Họ tên đầy đủ của CD/CR,
,,Bùi Thị Mỹ Dung & Giang Tuấn Kiệt
,,Dung Meo Meo & Staff 0đ
,,Bùi Thị Mỹ Dung & Giang Minh Kiệt
,,Bùi Thị Mỹ Duyên & Giang Minh Kiệt
,6. CD CR thích màu gì,
,,Xanh Dương & Đen
,,Vàng
,,Đen Trắng
,,Đỏ & Đen
,7. CR thích đội bóng nào,
,,Mân đàn
,,Chân đèn
,,Phú ngao
,,Cần đò
,8. CD thích nhất bộ anime/manga nào,
,,Kimetsu no Yaiba
,,Natsume Yuujinchou
,,Mushishi
,,Tensei Shitara Slime Datta Ken
,9. CD & CR mệnh gì,
,,Mệnh Kim và Mệnh Hỏa
,,Mệnh Kim và Mệnh Thổ
,,Mệnh Thổ
,,Mệnh Kim
,"10. CD & CR, ai là người biết nấu ăn",
,,Chú rể
,,Cô dâu
,,Cả 2 đều biết
,,Cả 2 đều không